Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
95,Banana Rep X,158.400000,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
96,Banana Rep Y,151.835000,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
97,Banana Rep Z,467.850000,,0.000000,DTCS,88.5,88.5,032,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
98,Barnes & Nob,468.412500,,0.000000,DTCS,88.5,88.5,412,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
99,Bass Pro A,464.500000,,0.000000,DTCS,88.5,88.5,466,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
100,Bass Pro B,469.600000,,0.000000,DTCS,88.5,88.5,606,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
101,Bass Pro C,468.937500,,0.000000,DTCS,88.5,88.5,703,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
102,Bass Pro D,469.887500,,0.000000,DTCS,88.5,88.5,703,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
103,Bass Pro E,451.587500,,0.000000,DTCS,88.5,88.5,073,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
104,B & Body X,461.062500,,0.000000,DTCS,88.5,88.5,632,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
105,B & Body Y,461.037500,,0.000000,DTCS,88.5,88.5,734,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
106,B & Body Z,467.900000,,0.000000,DTCS,88.5,88.5,632,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
107,Bed Bath X,467.850000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
108,Bed Bath Y,467.875000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
109,Bed Bath Z,467.925000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
110,Best Buy A,467.925000,,0.000000,DTCS,88.5,88.5,506,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
111,Best Buy B,467.900000,,0.000000,DTCS,88.5,88.5,743,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
112,Big Lots 1,461.237500,,0.000000,DTCS,88.5,88.5,346,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
113,Big Lots 2,467.875000,,0.000000,DTCS,88.5,88.5,265,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
114,Burlington,467.850000,,0.000000,DTCS,88.5,88.5,351,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
115,Char Russe X,154.527500,,0.000000,Tone,186.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
116,Char Russe Y,467.850000,,0.000000,Tone,173.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
117,Char Russe Z,461.037500,,0.000000,Tone,186.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
118,Chico's,468.262500,,0.000000,Tone,192.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
119,Child Place,467.850000,,0.000000,DTCS,88.5,88.5,712,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
120,Chuck Cheese,467.925000,,0.000000,DTCS,88.5,88.5,031,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
121,Coach 1,462.937500,,0.000000,DTCS,88.5,88.5,703,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
122,Coach 2,464.987500,,0.000000,DTCS,88.5,88.5,464,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
123,Costco,154.600000,,0.000000,Tone,82.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
124,Cr & Barr X,467.925000,,0.000000,Tone,91.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
125,Cr & Barr Y,467.875000,,0.000000,Tone,77.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
126,Cr & Barr Z,467.762500,,0.000000,Tone,74.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
127,Dave & B's 1,467.825000,,0.000000,DTCS,88.5,88.5,131,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
128,Dave & B's 2,467.900000,,0.000000,DTCS,88.5,88.5,043,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
129,Dick's Sp 1,467.875000,,0.000000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
130,Dick's Sp 2,467.875000,,0.000000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
131,Disney Store,467.875000,,0.000000,DTCS,88.5,88.5,712,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
132,DSW,464.500000,,0.000000,DTCS,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
