Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
469,AirExAA2,256.250000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,8.0W,Air Exercise Air-Air,,,,
470,JoshCtrlS2,256.800000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,8.0W,Joshua Control Saline MOA,,,,
471,DrmlndAAR4,257.000000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,8.0W,Dreamland AAR Prime,,,,
472,Edw418,257.075000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,8.0W,Edwards 418 FLTS,,,,
473,17WPS2,257.100000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,8.0W,17 WPS,,,,
474,AMCCmd,257.350000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,8.0W,AMC Command post,,,,
475,LACentr8,257.675000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,8.0W,LA Center,,,,
476,SLCentr12,257.700000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,8.0W,Salt Lake Center,,,,
477,KLASCTwr3,257.800000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,8.0W,KLAS Control Tower,,,,
478,OaklCent11,257.850000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,8.0W,Oakland Center,,,,
479,SilverTwr2,257.950000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,8.0W,Silverbow Tower,,,,
480,EnrtAA,258.200000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,8.0W,Enroute air-air,,,,
481,26WPSMQ3,258.675000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,8.0W,26 WPS MQ-9,,,,
482,BlackFlag,258.900000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,8.0W,Black Flag,,,,
483,RedFlag66,259.000000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,8.0W,Red Flag 66 RQS Ops,,,,
484,NellisRng,259.400000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,8.0W,Nellis Range Control,,,,
