Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
51,Express Men,467.900000,,0.000000,Tone,136.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
52,Foot Locker,461.037500,,0.000000,Tone,74.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
53,Gap VHF X,154.515000,,0.000000,DTCS,88.5,88.5,172,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
54,Gap VHF Y,154.600000,,0.000000,DTCS,88.5,88.5,624,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
55,Gap VHF Z,154.600000,,0.000000,Tone,74.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
56,Gap/Old Navy,154.570000,,0.000000,Tone,74.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
57,Guess,467.875000,,0.000000,DTCS,88.5,88.5,723,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
58,H&M V,467.137500,,0.000000,DTCS,88.5,88.5,155,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
59,H&M W,469.000000,,0.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
60,H&M X,468.837500,,0.000000,DTCS,88.5,88.5,155,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
61,H&M Y,466.287500,,0.000000,DTCS,88.5,88.5,155,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
62,H&M Z,469.762500,,0.000000,DTCS,88.5,88.5,155,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
63,Harbor F 1,467.850000,,0.000000,DTCS,88.5,88.5,631,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
